iter	Passed	Remaining
0	156	156354
1	158	79068
2	160	53235
3	162	40354
4	165	32858
5	166	27657
6	168	23871
7	169	21058
8	171	18855
9	172	17099
10	173	15638
11	175	14423
12	176	13395
13	178	12598
14	181	11900
15	182	11239
16	184	10650
17	186	10157
18	187	9689
19	188	9249
20	189	8853
21	190	8483
22	191	8146
23	194	7895
24	195	7622
25	196	7356
26	197	7107
27	198	6878
28	199	6678
29	200	6478
30	201	6292
31	202	6112
32	202	5940
33	203	5778
34	204	5624
35	204	5480
36	205	5344
37	205	5214
38	207	5100
39	207	4986
40	208	4875
41	209	4781
42	210	4684
43	211	4590
44	211	4499
45	212	4410
46	213	4324
47	213	4242
48	214	4165
49	215	4089
50	215	4017
51	216	3947
52	217	3880
53	217	3818
54	218	3757
55	219	3696
56	219	3637
57	221	3595
58	222	3544
59	223	3496
60	224	3448
61	224	3401
62	225	3353
63	226	3307
64	226	3263
65	227	3219
66	228	3176
67	228	3134
68	229	3094
69	229	3054
70	230	3015
71	231	2978
72	231	2942
73	232	2907
74	232	2872
75	233	2839
76	234	2806
77	234	2774
78	235	2743
79	236	2718
80	237	2692
81	238	2666
82	238	2636
83	239	2612
84	240	2586
85	240	2560
86	241	2535
87	242	2510
88	242	2485
89	243	2461
90	244	2437
91	244	2414
92	245	2391
93	245	2369
94	246	2347
95	247	2326
96	247	2305
97	248	2284
98	248	2264
99	249	2245
100	250	2225
101	251	2210
102	251	2192
103	252	2175
104	253	2159
105	254	2143
106	254	2126
107	255	2109
108	256	2093
109	256	2077
110	257	2061
111	258	2045
112	258	2030
113	259	2014
114	259	2000
115	260	1987
116	261	1972
117	261	1958
118	262	1944
119	263	1930
120	263	1917
121	264	1902
122	265	1889
123	267	1886
124	268	1877
125	269	1867
126	269	1855
127	270	1844
128	271	1833
129	272	1821
130	272	1809
131	273	1797
132	273	1786
133	274	1774
134	275	1763
135	275	1752
136	276	1741
137	277	1730
138	277	1720
139	278	1709
140	279	1699
141	279	1688
142	280	1680
143	281	1673
144	282	1667
145	283	1658
146	284	1649
147	284	1640
148	285	1631
149	286	1622
150	287	1614
151	287	1605
152	288	1596
153	289	1588
154	289	1580
155	290	1572
156	291	1563
157	291	1555
158	292	1547
159	293	1538
160	293	1529
161	294	1521
162	294	1513
163	296	1511
164	297	1504
165	298	1497
166	298	1489
167	299	1482
168	299	1474
169	300	1467
170	301	1459
171	301	1452
172	302	1445
173	302	1438
174	303	1430
175	304	1423
176	304	1416
177	305	1410
178	305	1403
179	306	1396
180	307	1390
181	307	1383
182	308	1376
183	309	1370
184	310	1365
185	310	1360
186	311	1354
187	312	1349
188	313	1343
189	313	1337
190	314	1331
191	314	1325
192	315	1319
193	316	1313
194	316	1307
195	317	1301
196	317	1295
197	318	1290
198	319	1284
199	319	1278
200	320	1273
201	320	1267
202	321	1262
203	322	1257
204	322	1252
205	323	1247
206	324	1242
207	325	1237
208	325	1232
209	326	1228
210	327	1223
211	327	1218
212	328	1213
213	328	1208
214	329	1203
215	330	1198
216	330	1193
217	331	1188
218	331	1183
219	332	1179
220	333	1174
221	333	1169
222	334	1165
223	335	1160
224	335	1156
225	336	1151
226	337	1147
227	337	1143
228	338	1138
229	338	1134
230	339	1130
231	342	1132
232	342	1129
233	343	1124
234	344	1120
235	344	1116
236	345	1112
237	346	1108
238	346	1103
239	347	1099
240	347	1095
241	348	1091
242	349	1087
243	349	1083
244	350	1079
245	351	1076
246	351	1072
247	352	1068
248	353	1064
249	353	1061
250	354	1057
251	355	1054
252	356	1052
253	357	1048
254	357	1045
255	358	1042
256	359	1039
257	360	1036
258	360	1032
259	361	1028
260	362	1025
261	362	1022
262	363	1018
263	364	1014
264	364	1011
265	365	1008
266	365	1004
267	366	1001
268	367	997
269	367	994
270	368	991
271	369	987
272	369	985
273	370	982
274	371	979
275	372	976
276	372	973
277	373	969
278	374	966
279	374	963
280	375	960
281	375	957
282	376	953
283	377	950
284	377	947
285	378	944
286	379	942
287	380	939
288	380	937
289	381	934
290	382	931
291	382	928
292	383	925
293	384	922
294	385	921
295	386	918
296	387	916
297	388	914
298	389	912
299	389	909
300	390	907
301	391	904
302	392	902
303	393	900
304	393	897
305	394	894
306	395	892
307	395	889
308	396	886
309	398	886
310	398	883
311	399	880
312	401	881
313	402	878
314	402	876
315	403	873
316	404	871
317	405	868
318	405	866
319	406	863
320	406	860
321	407	858
322	408	855
323	408	853
324	409	850
325	410	848
326	410	845
327	411	843
328	412	840
329	412	837
330	413	835
331	413	832
332	414	830
333	415	828
334	416	827
335	417	824
336	417	822
337	418	819
338	419	817
339	419	814
340	420	812
341	420	809
342	421	807
343	422	806
344	423	803
345	424	801
346	424	799
347	425	796
348	425	794
349	426	792
350	427	789
351	427	787
352	428	785
353	429	783
354	430	781
355	431	780
356	431	777
357	432	775
358	433	773
359	433	771
360	434	769
361	435	767
362	436	765
363	436	762
364	437	760
365	437	758
366	438	756
367	439	754
368	440	752
369	440	750
370	441	748
371	442	746
372	442	744
373	443	742
374	444	740
375	445	738
376	445	736
377	446	735
378	447	733
379	448	731
380	448	729
381	449	727
382	450	726
383	451	724
384	452	722
385	453	720
386	453	718
387	454	716
388	455	714
389	455	712
390	456	710
391	456	708
392	457	706
393	458	705
394	459	703
395	461	703
396	462	701
397	462	700
398	463	698
399	464	696
400	464	694
401	465	692
402	466	690
403	466	688
404	467	686
405	468	684
406	468	683
407	469	681
408	469	679
409	470	677
410	471	675
411	472	674
412	473	672
413	473	670
414	474	668
415	475	667
416	475	665
417	476	663
418	477	662
419	478	661
420	479	659
421	480	657
422	480	655
423	481	653
424	481	652
425	482	650
426	483	648
427	483	646
428	484	645
429	485	643
430	485	641
431	486	639
432	487	638
433	488	636
434	488	635
435	490	633
436	491	632
437	491	631
438	492	629
439	493	627
440	494	626
441	494	624
442	495	622
443	496	621
444	497	619
445	497	618
446	498	616
447	499	614
448	499	613
449	500	611
450	500	609
451	501	608
452	502	606
453	503	605
454	503	603
455	505	602
456	506	601
457	506	599
458	507	598
459	508	597
460	509	595
461	510	594
462	510	592
463	511	590
464	512	589
465	512	587
466	513	585
467	514	584
468	514	582
469	515	581
470	516	579
471	516	578
472	517	576
473	518	574
474	518	573
475	519	571
476	521	572
477	522	570
478	523	569
479	524	568
480	525	567
481	526	566
482	527	565
483	528	563
484	529	562
485	530	560
486	530	558
487	531	557
488	532	555
489	532	554
490	533	553
491	534	551
492	535	550
493	536	549
494	537	547
495	537	546
496	539	545
497	540	544
498	540	543
499	541	541
500	542	540
501	542	538
502	543	536
503	544	535
504	544	534
505	545	532
506	546	531
507	546	529
508	547	528
509	548	526
510	549	525
511	550	524
512	551	523
513	552	521
514	552	520
515	553	519
516	555	518
517	555	517
518	556	515
519	557	514
520	558	513
521	559	511
522	559	510
523	560	508
524	560	507
525	561	506
526	562	504
527	563	503
528	564	502
529	567	503
530	568	502
531	569	501
532	570	499
533	571	498
534	571	497
535	572	495
536	573	494
537	573	492
538	574	491
539	575	489
540	576	488
541	576	487
542	577	486
543	578	484
544	578	483
545	579	482
546	580	481
547	581	479
548	582	478
549	583	477
550	584	475
551	585	474
552	585	473
553	586	472
554	587	470
555	588	469
556	589	468
557	589	467
558	590	465
559	591	464
560	591	463
561	592	461
562	593	460
563	593	459
564	595	458
565	596	457
566	597	456
567	598	455
568	599	453
569	599	452
570	600	451
571	601	450
572	602	448
573	602	447
574	603	446
575	604	444
576	604	443
577	605	442
578	606	441
579	607	439
580	608	438
581	608	437
582	609	435
583	610	434
584	613	434
585	613	433
586	615	432
587	615	431
588	616	430
589	617	429
590	618	428
591	619	427
592	620	425
593	621	424
594	621	423
595	622	422
596	623	420
597	624	419
598	625	418
599	626	417
600	627	416
601	627	415
602	628	413
603	629	412
604	630	411
605	630	410
606	631	408
607	632	407
608	633	406
609	633	405
610	634	403
611	634	402
612	635	401
613	636	400
614	636	398
615	637	397
616	638	396
617	638	394
618	639	393
619	640	392
620	641	391
621	642	390
622	642	389
623	643	387
624	644	386
625	645	385
626	646	384
627	647	383
628	648	382
629	649	381
630	650	380
631	651	379
632	651	377
633	652	376
634	653	375
635	654	374
636	655	373
637	656	372
638	657	371
639	658	370
640	659	369
641	660	368
642	661	367
643	662	365
644	663	364
645	663	363
646	664	362
647	665	361
648	665	360
649	666	358
650	666	357
651	667	356
652	668	355
653	669	354
654	670	352
655	670	351
656	671	350
657	672	349
658	673	348
659	674	347
660	675	346
661	676	345
662	676	343
663	677	342
664	677	341
665	678	340
666	679	339
667	680	337
668	681	336
669	681	335
670	682	334
671	683	333
672	683	332
673	685	331
674	685	330
675	686	329
676	687	328
677	688	327
678	689	325
679	690	324
680	690	323
681	691	322
682	692	321
683	692	320
684	693	318
685	694	317
686	694	316
687	695	315
688	696	314
689	696	313
690	697	311
691	698	310
692	700	310
693	702	309
694	704	309
695	705	308
696	706	307
697	707	306
698	708	304
699	708	303
700	709	302
701	710	301
702	711	300
703	711	299
704	712	298
705	713	297
706	718	297
707	719	296
708	720	295
709	721	294
710	722	293
711	723	292
712	724	291
713	724	290
714	725	289
715	726	288
716	727	287
717	728	286
718	729	285
719	730	284
720	731	283
721	732	282
722	733	281
723	734	279
724	735	278
725	736	277
726	736	276
727	737	275
728	738	274
729	739	273
730	739	272
731	740	271
732	741	270
733	742	268
734	742	267
735	744	266
736	745	265
737	745	264
738	746	263
739	747	262
740	748	261
741	749	260
742	749	259
743	750	258
744	751	257
745	752	256
746	752	254
747	753	253
748	754	252
749	755	251
750	756	250
751	756	249
752	757	248
753	758	247
754	759	246
755	760	245
756	761	244
757	762	243
758	763	242
759	765	241
760	766	240
761	768	239
762	769	238
763	770	237
764	770	236
765	771	235
766	772	234
767	773	233
768	774	232
769	774	231
770	775	230
771	776	229
772	777	228
773	778	227
774	779	226
775	780	225
776	780	224
777	781	223
778	782	221
779	783	220
780	783	219
781	784	218
782	785	217
783	786	216
784	786	215
785	787	214
786	789	213
787	790	212
788	791	211
789	792	210
790	793	209
791	793	208
792	794	207
793	795	206
794	796	205
795	796	204
796	797	203
797	798	202
798	799	201
799	800	200
800	800	198
801	801	197
802	802	196
803	802	195
804	803	194
805	804	193
806	805	192
807	806	191
808	807	190
809	808	189
810	809	188
811	810	187
812	811	186
813	811	185
814	812	184
815	813	183
816	814	182
817	814	181
818	815	180
819	816	179
820	817	178
821	819	177
822	821	176
823	822	175
824	824	174
825	825	173
826	828	173
827	829	172
828	830	171
829	831	170
830	831	169
831	832	168
832	836	167
833	837	166
834	838	165
835	839	164
836	840	163
837	840	162
838	841	161
839	842	160
840	843	159
841	843	158
842	844	157
843	845	156
844	846	155
845	846	154
846	847	153
847	848	152
848	851	151
849	852	150
850	853	149
851	854	148
852	855	147
853	856	146
854	859	145
855	860	144
856	861	143
857	861	142
858	862	141
859	863	140
860	865	139
861	868	139
862	869	138
863	870	137
864	871	136
865	873	135
866	874	134
867	874	133
868	875	132
869	876	130
870	877	129
871	878	128
872	878	127
873	881	127
874	882	126
875	883	125
876	884	124
877	885	123
878	886	122
879	887	121
